*** *** Fz 1
de de SPS00 0.999984
aguas agua NCFP000 0.980769
para para SPS00 0.999103
el el DA0MS0 1
cultivo cultivo NCMS000 0.97619
de de SPS00 0.999984
especies especie NCFP000 1
piscícolas piscícola AQ0CP0 1
como como CS 0.999289
la el DA0FS0 0.972269
cachama cachama NCFS000 0.500001
, , Fc 1
la el DA0FS0 0.972269
calidad calidad NCFS000 1
de de SPS00 1
el el DA0MS0 1
agua agua NCCS000 0.99177
en en SPS00 1
estos este DD0MP0 0.998084
cultivos cultivo NCMP000 1
deben deber VMIP3P0 1
ofrecer ofrecer VMN0000 1
a a SPS00 0.996023
los el DA0MP0 0.976481
peces pez NCMP000 1
un_medio 1/2 Zp 1
confortable confortable AQ0CS0 1
para para SPS00 0.999103
su su DP3CS0 1
buen bueno AQ0MS0 1
desarrollo desarrollo NCMS000 0.992424
, , Fc 1
la el DA0FS0 0.972269
falta falta NCFS000 0.705607
de de SPS00 0.999984
oxígeno oxígeno NCMS000 1
en en SPS00 1
los el DA0MP0 0.976481
cultivos cultivo NCMP000 1
ocasiona ocasionar VMIP3S0 0.994865
a a SPS00 0.996023
los el DA0MP0 0.976481
peces pez NCMP000 1
un uno DI0MS0 0.987295
gran gran AQ0CS0 1
estrés estrés NCMS000 1
y y CC 0.999962
estos este PD0MP000 0.00191571
ponen poner VMIP3P0 1
en en SPS00 1
marcha marcha NCFS000 0.98374
mecanismos mecanismo NCMP000 1
de de SPS00 0.999984
supervivencia supervivencia NCFS000 1
como como CS 0.999289
acelerar acelerar VMN0000 1
el el DA0MS0 1
movimiento movimiento NCMS000 1
de de SPS00 0.999984
opérculos opérculo NCMP000 1
o o CC 0.999769
ir ir VMN0000 1
a a SPS00 0.996023
respirar respirar VMN0000 1
el el DA0MS0 1
agua agua NCCS000 0.99177
superficial superficial AQ0CS0 1
más más RG 1
rica rico AQ0FS0 0.628202
en en SPS00 1
oxígeno oxígeno NCMS000 1
, , Fc 1
pero pero CC 0.999764
a a SPS00 0.996023
largo largo AQ0MS0 0.465517
plazo plazo NCMS000 1
este este DD0MS0 0.960092
estrés estrés NCMS000 1
continuo continuo AQ0MS0 0.65727
les le PP3CPD00 1
provoca provocar VMIP3S0 0.994868
un uno DI0MS0 0.987295
debilitamiento debilitamiento NCMS000 1
frente_a frente_a SPS00 1
los el DA0MP0 0.976481
parásitos parásito NCMP000 0.642701
y y CC 0.999962
terminan terminar VMIP3P0 1
por por SPS00 1
enfermar enfermar VMN0000 1
y y CC 0.999962
morir morir VMN0000 1
. . Fp 1

en en SPS00 1
el el DA0MS0 1
cultivo cultivo NCMS000 0.97619
de de SPS00 0.999984
la el DA0FS0 0.972269
cachama cachama NCFS000 0.500001
es ser VSIP3S0 1
necesario necesario AQ0MS0 1
aplicar aplicar VMN0000 1
sistemas sistema NCMP000 1
de de SPS00 0.999984
oxigenación oxigenación NCFS000 1
adecuados adecuar VMP00PM 1
que que PR0CN000 0.562517
son ser VSIP3P0 0.988842
dados dar VMP00PM 0.560564
a a SPS00 1
el el DA0MS0 1
instalar instalar VMN0000 1
bombas bomba NCFP000 0.983871
axiales axial AQ0CP0 1
en en SPS00 1
el el DA0MS0 1
estanque estanque NCMS000 0.818698
o o CC 0.999769
laguna laguna NCFS000 1
a a SPS00 0.996023
oxigenar oxigenar VMN0000 1
; ; Fx 1
estos este DD0MP0 0.998084
equipos equipo NCMP000 1
a a SPS00 1
el el DA0MS0 1
estar estar VAN0000 1
instalados instalar VMP00PM 1
, , Fc 1
equilibran equilibrar VMIP3P0 1
los el DA0MP0 0.976481
gases gas NCMP000 1
en en SPS00 1
el el DA0MS0 1
agua agua NCCS000 0.99177
ayudando ayudar VMG0000 1
a a SPS00 1
el el DA0MS0 1
crecimiento crecimiento NCMS000 1
y y CC 0.999962
mantenimiento mantenimiento NCMS000 1
de de SPS00 0.999984
las el DA0FP0 0.970954
poblaciones población NCFP000 1
naturales natural AQ0CP0 0.97619
de de SPS00 1
el el DA0MS0 1
estanque estanque NCMS000 0.818698
o o CC 0.999769
laguna laguna NCFS000 1
( ( Fpa 1
fito fito NCMS000 0.607495
y y CC 0.999962
zooplancton zooplancton NCMS000 1
) ) Fpt 1
. . Fp 1

