*** *** Fz 1
descripcion descripcion VMIS3P0 0.923476
en en SPS00 1
asamblea asamblea NCFS000 1
, , Fc 1
( ( Fpa 1
caso caso NCMS000 0.99812
piñal piñal NCMS000 1
, , Fc 1
el el DA0MS0 1
rosario rosario NCMS000 1
, , Fc 1
trompillo trompo NCMS00D 1
, , Fc 1
naguanagua naguanagua NCFS000 1
, , Fc 1
etc etcétera Fs 1
con con SPS00 1
integrantes integrante NCCP000 0.56768
opositores opositor AQ0MP0 0.357313
, , Fc 1
incluso incluso RG 0.996383
con con SPS00 1
quien quien PR0CS000 1
estuvo estar VAIS3S0 1
preso preso AQ0MS0 0.557157
en en SPS00 1
la el DA0FS0 0.972269
disip disip NCMS000 1
cuando cuando CS 0.985595
el el DA0MS0 1
paro paro NCMS000 0.968254
petrolero petrolero AQ0MS0 0.65715
por por SPS00 1
conspirador conspirador NCMS000 1
) ) Fpt 1
. . Fp 1
estas este DD0FP0 0.97043
denuncias denuncia NCFP000 0.973497
fueron ser VSIS3P0 0.805344
interpuestas interponer VMP00PF 1
ante ante SPS00 0.998084
nahir nahir VMN0000 0.994296
diaz diaz AQ0CS0 0.803258
coordinadora coordinador NCFS000 0.642547
fundacomunal fundacomunal AQ0CS0 1
nunca nunca RG 1
dió dió VMIS3S0 1
respuesta respuesta NCFS000 1
, , Fc 1
y y CC 0.999962
ahora ahora RG 1
, , Fc 1
se se P00CN000 0.465639
le le PP3CSD00 1
repotencia repotenciar VMIP3S0 0.150743
como como CS 0.999289
integrante integrante NCCS000 0.417721
de de SPS00 1
el el DA0MS0 1
buro buro AQ0MS0 0.573923
psuv psuv NCFS000 0.15945
regional regional AQ0CS0 1
. . Fp 1
la el DA0FS0 0.972269
propuesta propuesta NCFS000 0.458238
para para SPS00 0.999103
el el DA0MS0 1
desarrollo desarrollo NCMS000 0.992424
de de SPS00 1
el el DA0MS0 1
segundo 2 AO0MS0 0.755869
plan plan NCMS000 1
socialista socialista AQ0CS0 0.59727
periodo periodo NCMS000 1
2013 2013 Z 1
– – Fz 1
2019 2019 Z 1
y y CC 0.999962
el el DA0MS0 1
proceso proceso NCMS000 0.994505
de de SPS00 0.999984
consulta consulta NCFS000 0.546947
en en SPS00 1
todo todo DI0MS0 0.560961
el el DA0MS0 1
país país NCMS000 1
nos nos PP1CP000 0.935743
permite permitir VMIP3S0 0.992958
, , Fc 1
en en SPS00 1
base base NCCS000 0.981707
a a SPS00 0.996023
esta este DD0FS0 0.986779
experiencia experiencia NCFS000 1
, , Fc 1
formular formular VMN0000 1
nos nos PP1CP000 1
, , Fc 1
como como CS 0.999289
dirían decir VMIC3P0 1
los el DA0MP0 0.976481
sistematizadores sistematizadores NCMP000 1
, , Fc 1
las el DA0FP0 0.970954
siguientes siguiente AQ0CP0 1
preguntas pregunta NCFP000 0.973497
problematizadoras problematizadoras AQ0FP0 0.769202
: : Fd 1
pregunta preguntar VMIP3S0 0.426573
01 1 Z 1
¿ ¿ Fia 1
contribuye contribuir VMIP3S0 0.994868
la el DA0FS0 0.972269
creación creación NCFS000 1
de de SPS00 0.999984
una uno DI0FS0 0.951575
instancia instancia NCFS000 1
central central AQ0CS0 0.980769
de de SPS00 0.999984
control control NCMS000 1
y y CC 0.999962
seguimiento seguimiento NCMS000 1
a a SPS00 1
el el DA0MS0 1
más más RG 1
alto alto AQ0MS0 0.994505
nivel nivel NCMS000 1
, , Fc 1
a a SPS00 1
el el DA0MS0 1
logro logro NCMS000 0.973486
de de SPS00 1
el el DA0MS0 1
fortalecimiento fortalecimiento NCMS000 1
y y CC 0.999962
expansión expansión NCFS000 1
de de SPS00 1
el el DA0MS0 1
poder poder NCMS000 0.718254
popular popular AQ0CS0 1
para para SPS00 0.999103
que que CS 0.437483
el el DA0MS0 1
pueblo pueblo NCMS000 0.995495
sea ser VSSP1S0 0.487293
el el DA0MS0 1
poder poder NCMS000 0.718254
? ? Fit 1
no no RN 0.998134
niega negar VMIP3S0 0.994868
su su DP3CS0 1
naturaleza naturaleza NCFS000 1
la el DA0FS0 0.972269
legitimidad legitimidad NCFS000 1
y y CC 0.999962
efectividad efectividad NCFS000 1
de de SPS00 0.999984
otros otro DI0MP0 0.569444
tipos tipo NCMP000 1
de de SPS00 0.999984
controles control NCMP000 0.995706
? ? Fit 1
no no RN 0.998134
se se P00CN000 0.465639
expresa expresar VMIP3S0 0.451546
como como CS 0.999289
un uno DI0MS0 0.987295
aplastamiento aplastamiento NCMS000 1
de de SPS00 0.999984
las el DA0FP0 0.970954
iniciativas iniciativa NCFP000 0.567559
populares popular AQ0CP0 1
? ? Fit 1
pregunta preguntar VMIP3S0 0.426573
02 2 Z 1
¿ ¿ Fia 1
existe existir VMIP3S0 0.992958
el el DA0MS0 1
riesgo riesgo NCMS000 1
que que PR0CN000 0.562517
la el DA0FS0 0.972269
configuración configuración NCFS000 1
y y CC 0.999962
funcionamiento funcionamiento NCMS000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
administración administración NCFS000 1
pública público AQ0FS0 1
heredada heredar VMP00SF 1
y y CC 0.999962
que que PR0CN000 0.562517
no no RN 0.998134
hemos haber VAIP1P0 0.99061
logrado lograr VMP00SM 1
desarticular desarticular VMN0000 1
, , Fc 1
haga hacer VMSP1S0 0.451327
degenerar degenerar VMN0000 1
la el DA0FS0 0.972269
oficina oficina NCFS000 1
central central AQ0CS0 0.980769
de de SPS00 0.999984
control control NCMS000 1
y y CC 0.999962
seguimiento seguimiento NCMS000 1
en en SPS00 1
una uno DI0FS0 0.951575
nueva nuevo AQ0FS0 0.995283
alcabala alcabala NCFS000 1
de de SPS00 0.999984
burocratismo burocratismo NCMS000 1
y y CC 0.999962
entrabamiento entrabamiento NCMS000 1
para para SPS00 0.999103
el el DA0MS0 1
poder poder NCMS000 0.718254
popular popular AQ0CS0 1
? ? Fit 1
? ? Fit 1
¿ ¿ Fia 1
no no RN 0.998134
correrá correr VMIF3S0 1
la el DA0FS0 0.972269
misma mismo AQ0FS0 0.924757
suerte suerte NCFS000 1
que que PR0CN000 0.562517
la el DA0FS0 0.972269
oficina oficina NCFS000 1
estratégica estratégico AQ0FS0 1
de de SPS00 0.999984
inspección inspección NCFS000 1
, , Fc 1
seguimiento seguimiento NCMS000 1
y y CC 0.999962
evaluación evaluación NCFS000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
gestión gestión NCFS000 1
pública público AQ0FS0 1
creada crear VMP00SF 1
según según SPS00 0.995943
gaceta gaceta NCFS000 1
oficial oficial AQ0CS0 0.980769
n° n° VMIP3S0 0.0552799
39.451 39451 Z 1
de de SPS00 1
el el DA0MS0 1
22_de_junio_de_2010 [??:22/6/2010:??.??:??] W 1
, , Fc 1
decreto decreto NCMS000 0.973497
n° n° VMIP3S0 0.0552799
7.503 7503 Z 1
, , Fc 1
para para SPS00 0.999103
la el DA0FS0 0.972269
evaluación evaluación NCFS000 1
, , Fc 1
supervisión supervisión NCFS000 1
, , Fc 1
vigilancia vigilancia NCFS000 1
, , Fc 1
seguimiento seguimiento NCMS000 1
y y CC 0.999962
control control NCMS000 1
en en SPS00 1
relación relación NCFS000 1
a a SPS00 0.996023
la el DA0FS0 0.972269
primera 1 AO0FS0 0.997382
pregunta pregunta NCFS000 0.566434
, , Fc 1
se se P00CN000 0.465639
parte parte NCFS000 0.499183
de de SPS00 0.999984
una uno DI0FS0 0.951575
realidad realidad NCFS000 1
en en SPS00 1
las el DA0FP0 0.970954
municipalidades municipalidad NCFP000 1
de de SPS00 1
el el DA0MS0 1
país país NCMS000 1
, , Fc 1
donde donde PR000000 0.967437
el el DA0MS0 1
proceso proceso NCMS000 0.994505
constituyente constituyente AQ0CS0 0.589091
como como CS 0.999289
acto acto NCMS000 1
puro puro AQ0MS0 0.8125
de de SPS00 0.999984
potencia potencia NCFS000 0.972603
y y CC 0.999962
transformación transformación NCFS000 1
permanente permanente AQ0CS0 0.983871
explica explicar VMIP3S0 0.98913
brotes brote NCMP000 0.995704
de de SPS00 0.999984
descontento descontento NCMS000 0.387584
o o CC 0.999769
desobediencia desobediencia NCFS000 1
porque porque CS 1
se se P00CN000 0.465639
hace hacer VMIP3S0 1
letra letra NCFS000 1
muerta morir VMP00SF 0.97619
de de SPS00 0.999984
las el DA0FP0 0.970954
leyes ley NCFP000 1
. . Fp 1
acaso acaso RG 0.991071
no no RN 0.998134
seria seriar VMIP3S0 0.151546
este este DD0MS0 0.960092
el el DA0MS0 1
caso caso NCMS000 0.99812
de de SPS00 0.999984
la el DA0FS0 0.972269
ley ley NCFS000 1
orgánica orgánico AQ0FS0 1
de de SPS00 0.999984
la el DA0FS0 0.972269
contraloría contraloría NCFS000 0.94113
social social AQ0CS0 0.995283
en en SPS00 1
nuestros nuestro DP1MPP 0.866379
municipios municipio NCMP000 1
? ? Fit 1
que que CS 0.437483
va ir VMIP3S0 1
a a SPS00 0.996023
pasar pasar VMN0000 1
con con SPS00 1
las el DA0FP0 0.970954
organizaciones organización NCFP000 1
populares popular AQ0CP0 1
que que PR0CN000 0.562517
dieron dar VMIS3P0 1
inicio inicio NCMS000 0.973497
a a SPS00 0.996023
la el DA0FS0 0.972269
“ “ Fz 1
práctica práctica NCFS000 0.33871
de de SPS00 0.999984
contraloría contraloría NCFS000 0.94113
social social AQ0CS0 0.995283
” ” Fz 1
y y CC 0.999962
elaboraron elaborar VMIS3P0 1
el el DA0MS0 1
“ “ Fz 1
acta acta NCFS000 1
vinculante vinculante AQ0CS0 1
de de SPS00 0.999984
la el DA0FS0 0.972269
contraloría contraloría NCFS000 0.94113
social social AQ0CS0 0.995283
” ” Fz 1
( ( Fpa 1
tal_como tal_y_como CS 1
lo lo PP3CNA00 0.271177
manda mandar VMIP3S0 0.270706
la el DA0FS0 0.972269
locs locs NCMP000 1
) ) Fpt 1
que que PR0CN000 0.562517
están estar VAIP3P0 1
en en SPS00 1
los el DA0MP0 0.976481
escritorios escritorio NCMP000 1
de de SPS00 0.999984
los el DA0MP0 0.976481
funcionarios funcionario NCMP000 1
públicos público AQ0MP0 0.611064
o o CC 0.999769
en en SPS00 1
las el DA0FP0 0.970954
fiscalía fiscalía NCFS000 1
o o CC 0.999769
tribunales tribunal NCMP000 1
de de SPS00 1
el el DA0MS0 1
país país NCMS000 1
sin sin SPS00 1
respuestas respuesta NCFP000 1
, , Fc 1
o o CC 0.999769
en en SPS00 1
las el DA0FP0 0.970954
oficinas oficina NCFP000 1
de de SPS00 0.999984
auditoria auditorio AQ0FS0 1
de de SPS00 0.999984
los el DA0MP0 0.976481
entes ente NCMP000 1
públicos público AQ0MP0 0.611064
o o CC 0.999769
que que PR0CN000 0.562517
duermen dormir VMIP3P0 1
el el DA0MS0 1
sueño sueño NCMS000 0.992958
de de SPS00 0.999984
los el DA0MP0 0.976481
justos justo NCMP000 0.582741
en en SPS00 1
las el DA0FP0 0.970954
contralorías contralorías NCFP000 1
municipales municipal AQ0CP0 1
o o CC 0.999769
por_ejemplo por_ejemplo RG 1
, , Fc 1
cuando cuando CS 0.985595
muere morir VMIP3S0 0.980769
una uno DI0FS0 0.951575
persona persona NCFS000 0.98773
por por SPS00 1
el el DA0MS0 1
humo humo NCMS000 1
de de SPS00 0.999984
basura basura NCFS000 1
de de SPS00 0.999984
un uno DI0MS0 0.987295
vertedero vertedero NCMS000 1
siendo ser VSG0000 1
que que CS 0.437483
la el DA0FS0 0.972269
denuncia denuncia NCFS000 0.647011
por por SPS00 1
el el DA0MS0 1
dinero dinero NCMS000 1
que que PR0CN000 0.562517
se se P00CN000 0.465639
robaron robar VMIS3P0 1
tiene tener VMIP3S0 1
4 4 Z 1
años año NCMP000 1
de de SPS00 0.999984
formulada formular VMP00SF 1
en en SPS00 1
la el DA0FS0 0.972269
mismísima mismo AQSFS0 0.5
contraloría contraloría NCFS000 0.94113
general general AQ0CS0 0.927632
de de SPS00 0.999984
la el DA0FS0 0.972269
república república NCFS000 1
? ? Fit 1
que que CS 0.437483
va ir VMIP3S0 1
a a SPS00 0.996023
pasar pasar VMN0000 1
si si CS 0.99954
las el DA0FP0 0.970954
instancias instancia NCFP000 1
administrativas administrativo AQ0FP0 0.432441
y y CC 0.999962
jurisdiccionales jurisdiccional AQ0CP0 1
hicieron hacer VMIS3P0 1
caso caso NCMS000 0.99812
omiso omiso AQ0MS0 1
de de SPS00 0.999984
las el DA0FP0 0.970954
mismas mismo AQ0FP0 0.983871
? ? Fit 1
que que CS 0.437483
pasa pasar VMIP3S0 0.985294
con con SPS00 1
el el DA0MS0 1
articulo articular VMIP1S0 1
51 51 Z 1
de de SPS00 0.999984
la el DA0FS0 0.972269
constitución constitución NCFS000 1
bolivariana bolivariano AQ0FS0 1
? ? Fit 1

