*** *** Fz 1
descripcion descripcion VMIS3P0 0.923476
es ser VSIP3S0 1
cierto cierto AQ0MS0 1
que que CS 0.437483
el el DA0MS0 1
objeto objeto NCMS000 0.98913
principal principal AQ0CS0 0.986111
de de SPS00 1
el el DA0MS0 1
proyecto proyecto NCMS000 0.986111
es ser VSIP3S0 1
la el DA0FS0 0.972269
prestación prestación NCFS000 1
de de SPS00 1
el el DA0MS0 1
servicio servicio NCMS000 1
de de SPS00 0.999984
transporte transporte NCMS000 0.918697
de de SPS00 0.999984
carga carga NCFS000 0.952569
, , Fc 1
a a SPS00 1
el el DA0MS0 1
sector sector NCMS000 1
industrial industrial AQ0CS0 0.865854
dedicado dedicar VMP00SM 1
a a SPS00 0.996023
la el DA0FS0 0.972269
construcción construcción NCFS000 1
en en SPS00 1
el el DA0MS0 1
país país NCMS000 1
, , Fc 1
a_través_de a_través_de SPS00 1
el el DA0MS0 1
presente presente AQ0CS0 0.198718
proyecto proyecto NCMS000 0.986111
, , Fc 1
la el DA0FS0 0.972269
cooperativa cooperativa NCFS000 0.788462
debe deber VMIP3S0 0.992095
presentar presentar VMN0000 1
su su DP3CS0 1
compromiso compromiso NCMS000 1
social social AQ0CS0 0.995283
con con SPS00 1
la el DA0FS0 0.972269
comunidad comunidad NCFS000 1
. . Fp 1

descripción descripción NCFS000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
demanda demanda NCFS000 0.846947
actual actual AQ0CS0 1
mercado mercado NCMS000 0.97619
potencial potencial AQ0CS0 0.211538
para para SPS00 0.999103
el el DA0MS0 1
proyecto proyecto NCMS000 0.986111
está estar VAIP3S0 0.999201
referido referir VMP00SM 1
a a SPS00 1
el el DA0MS0 1
universo universo NCMS000 1
de de SPS00 0.999984
empresas empresa NCFP000 1
estatales estatal AQ0CP0 1
o o CC 0.999769
privadas privar VMP00PF 1
, , Fc 1
que que PR0CN000 0.562517
distribuyen distribuir VMIP3P0 1
, , Fc 1
importan importar VMIP3P0 1
o o CC 0.999769
explotan explotar VMIP3P0 1
productos producto NCMP000 0.64273
dirigidos dirigir VMP00PM 1
a a SPS00 0.996023
el el DA0MS0 1
traslado traslado NCMS000 0.973497
de de SPS00 0.999984
carga carga NCFS000 0.952569
en en SPS00 1
sus su DP3CP0 0.999692
diferentes diferente AQ0CP0 1
tamaños tamaño NCMP000 0.64273
, , Fc 1
y y CC 0.999962
todo todo DI0MS0 0.560961
tipo tipo NCMS000 1
de de SPS00 0.999984
material material NCMS000 0.581967
que que PR0CN000 0.562517
pueda poder VMSP1S0 0.496933
transportar transportar VMN0000 1
se se PP3CN000 1
a_granel a_granel RG 1
a_través_de a_través_de SPS00 1
camiones camión NCMP000 1
dotados dotar VMP00PM 1
para para SPS00 0.999103
su su DP3CS0 1
fin fin NCMS000 1
gran gran AQ0CS0 1
parte parte NCFS000 0.499183
de de SPS00 1
el el DA0MS0 1
estudio estudio NCMS000 0.990196
de de SPS00 0.999984
mercado mercado NCMS000 0.97619
que que PR0CN000 0.562517
se se P00CN000 0.465639
reflejan reflejar VMIP3P0 1
en en SPS00 1
el el DA0MS0 1
presente presente AQ0CS0 0.198718
proyecto proyecto NCMS000 0.986111
provienen provenir VMIP3P0 1
de de SPS00 0.999984
datos dato NCMP000 1
publicados publicar VMP00PM 1
por por SPS00 1
la el DA0FS0 0.972269
asociación asociación NCFS000 1
logística logístico AQ0FS0 0.582274
de de SPS00 0.999984
venezuela vena NCFS00X 1
en en SPS00 1
reciente reciente AQ0CS0 0.968085
fecha fecha NCFS000 0.953125
, , Fc 1
de de SPS00 0.999984
su su DP3CS0 1
lectura lectura NCFS000 1
se se P00CN000 0.465639
puede poder VMIP3S0 0.999117
inferir inferir VMN0000 1
la el DA0FS0 0.972269
necesidad necesidad NCFS000 1
que que PR0CN000 0.562517
tiene tener VMIP3S0 1
el el DA0MS0 1
país país NCMS000 1
de de SPS00 0.999984
remozar remozar VMN0000 1
su su DP3CS0 1
flota flota NCFS000 0.77195
de de SPS00 0.999984
transporte transporte NCMS000 0.918697
, , Fc 1
he haber VAIP1S0 0.993808
aquí aquí RG 1
extractos extracto NCMP000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
información información NCFS000 1
obtenida obtener VMP00SF 1
: : Fd 1
entre entre SPS00 0.998082
otros otro DI0MP0 0.569444
problemas problema NCMP000 1
también también RG 1
se se P00CN000 0.465639
tienen tener VMIP3P0 1
los el DA0MP0 0.976481
siguientes siguiente AQ0CP0 1
: : Fd 1
canibalización canibalización NCFS000 1
de de SPS00 0.999984
un uno DI0MS0 0.987295
alto alto AQ0MS0 0.994505
porcentaje porcentaje NCMS000 1
de de SPS00 0.999984
unidades unidad NCFP000 1
de de SPS00 0.999984
carga carga NCFS000 0.952569
. . Fp 1

control control NCMS000 1
de de SPS00 0.999984
cambios cambio NCMP000 1
. . Fp 1

escasez escasez NCFS000 1
de de SPS00 0.999984
partes parte NCFP000 0.498623
y y CC 0.999962
piezas pieza NCFP000 1
. . Fp 1

falta faltar VMIP3S0 0.285047
de de SPS00 0.999984
recursos recurso NCMP000 1
de de SPS00 0.999984
las el DA0FP0 0.970954
empresas empresa NCFP000 1
. . Fp 1

robo robo NCMS000 0.973497
y y CC 0.999962
desmantelamiento desmantelamiento NCMS000 1
de de SPS00 0.999984
unidades unidad NCFP000 1
sólo sólo RG 1
25_% 25/100 Zp 1
se se P00CN000 0.465639
recupera recuperar VMIP3S0 0.97619
. . Fp 1

edad edad NCFS000 1
elevada elevar VMP00SF 1
de de SPS00 0.999984
la el DA0FS0 0.972269
flota flota NCFS000 0.77195
pesada pesar VMP00SF 0.691767
50_% 50/100 Zp 1
entre entre SPS00 0.998082
10 10 Z 1
y y CC 0.999962
25 25 Z 1
años año NCMP000 1
. . Fp 1

precios precio NCMP000 1
de de SPS00 0.999984
unidades unidad NCFP000 1
nuevas nuevo AQ0FP0 0.991803
y y CC 0.999962
niveles nivel NCMP000 0.995706
de de SPS00 0.999984
fletes flete NCMP000 0.935714
hacen hacer VMIP3P0 1
difícil difícil AQ0CS0 1
reposición reposición NCFS000 1
de de SPS00 0.999984
flota flota NCFS000 0.77195
. . Fp 1

basado basar VMP00SM 1
en en SPS00 1
expectativas expectativa NCFP000 1
positivas positivo AQ0FP0 1
para para SPS00 0.999103
el el DA0MS0 1
sector sector NCMS000 1
, , Fc 1
sostenidas sostener VMP00PF 1
en en SPS00 1
las el DA0FP0 0.970954
políticas político AQ0FP0 0.972603
que que CS 0.437483
el el DA0MS0 1
gobierno gobierno NCMS000 0.97619
está estar VAIP3S0 0.999201
emprendiendo emprender VMG0000 1
para para SPS00 0.999103
lograr lograr VMN0000 1
crecimiento crecimiento NCMS000 1
en en SPS00 1
el el DA0MS0 1
sector sector NCMS000 1
transporte transporte NCMS000 0.918697
. . Fp 1
ya_que ya_que CS 1
desde desde SPS00 1
1998 1998 Z 1
hasta hasta SPS00 0.957698
el el DA0MS0 1
año_2003 [??:??/??/2003:??.??:??] W 1
hubo haber VMIS3S0 0.98913
una uno DI0FS0 0.951575
disminución disminución NCFS000 1
importante importante AQ0CS0 1
de de SPS00 1
el el DA0MS0 1
parque parque NCMS000 1
de de SPS00 0.999984
vehículos vehículo NCMP000 1
pesados pesar VMP00PM 0.691743
. . Fp 1
posteriormente_a posteriormente_a SPS00 1
partir partir VMN0000 1
de de SPS00 1
el el DA0MS0 1
año_2004 [??:??/??/2004:??.??:??] W 1
inició iniciar VMIS3S0 1
un uno DI0MS0 0.987295
aumento aumento NCMS000 0.980769
importante importante AQ0CS0 1
hasta hasta SPS00 0.957698
el el DA0MS0 1
año_2007 [??:??/??/2007:??.??:??] W 1
con con SPS00 1
la el DA0FS0 0.972269
incorporación incorporación NCFS000 1
a a SPS00 1
el el DA0MS0 1
mercado mercado NCMS000 0.97619
de de SPS00 0.999984
8.972 8972 Z 1
unidades unidad NCFP000 1
nuevas nuevo AQ0FP0 0.991803
, , Fc 1
año año NCMS000 1
a_partir_de a_partir_de SPS00 1
el el DA0MS0 1
cual cual PR0CS000 0.913223
disminuye disminuir VMIP3S0 0.994868
nuevamente nuevamente RG 1
la el DA0FS0 0.972269
reposición reposición NCFS000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
flota flota NCFS000 0.77195
de de SPS00 0.999984
carga carga NCFS000 0.952569
pesada pesar VMP00SF 0.691767
en en SPS00 1
venezuela vena NCFS00X 1
, , Fc 1
a a SPS00 1
el el DA0MS0 1
punto punto NCMS000 1
tal tal DD0CS0 0.748227
que que PR0CN000 0.562517
hasta hasta SPS00 0.957698
el el DA0MS0 1
mes_de_agosto_del_año_2010 [??:??/8/2010:??.??:??] W 1
, , Fc 1
tan tan RG 1
solo solo AQ0MS0 0.948498
se se P00CN000 0.465639
han haber VAIP3P0 0.44
vendido vender VMP00SM 1
810 810 Z 1
unidades unidad NCFP000 1
de de SPS00 0.999984
carga carga NCFS000 0.952569
pesada pesar VMP00SF 0.691767
, , Fc 1
pudiendo poder VMG0000 1
afirmar afirmar VMN0000 1
que que CS 0.437483
actualmente actualmente RG 1
la el DA0FS0 0.972269
oferta oferta NCFS000 0.846947
de de SPS00 1
el el DA0MS0 1
servicio servicio NCMS000 1
es ser VSIP3S0 1
insuficiente insuficiente AQ0CS0 1
e y CC 0.980427
insatisfactoria insatisfactorio AQ0FS0 1
. . Fp 1

otra otro DI0FS0 0.803899
variable variable NCFS000 0.34273
importante importante AQ0CS0 1
a a SPS00 0.996023
considerar considerar VMN0000 1
para para SPS00 0.999103
estudiar estudiar VMN0000 1
la el DA0FS0 0.972269
oferta oferta NCFS000 0.846947
de de SPS00 1
el el DA0MS0 1
sector sector NCMS000 1
transporte transporte NCMS000 0.918697
de de SPS00 0.999984
carga carga NCFS000 0.952569
pesada pesar VMP00SF 0.691767
en en SPS00 1
el el DA0MS0 1
mercado mercado NCMS000 0.97619
venezolano venezolano AQ0MS0 0.357352
, , Fc 1
es ser VSIP3S0 1
el el DA0MS0 1
valor valor NCMS000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
producción producción NCFS000 1
bruta bruto AQ0FS0 0.357334
( ( Fpa 1
vpb vpb NCMS000 0.63631
) ) Fpt 1
como como CS 0.999289
el el DA0MS0 1
mejor mejor AQ0CS0 0.873665
determinante determinante NCMS000 0.417718
de de SPS00 0.999984
estudio estudio NCMS000 0.990196
de de SPS00 0.999984
la el DA0FS0 0.972269
oferta oferta NCFS000 0.846947
. . Fp 1
en en SPS00 1
este este DD0MS0 0.960092
sentido sentido NCMS000 0.960993
según según SPS00 0.995943
informaciones información NCFP000 1
aportadas aportar VMP00PF 1
por por SPS00 1
el el DA0MS0 1
registro registro NCMS000 0.973497
nacional nacional AQ0CS0 1
de de SPS00 0.999984
contratistas contratista NCCP000 1
; ; Fx 1
se se P00CN000 0.465639
encuentran encontrar VMIP3P0 1
registradas registrar VMP00PF 1
novecientas_cuarenta_y_cinco 945 Z 1
( ( Fpa 1
945 945 Z 1
) ) Fpt 1
cooperativas cooperativa NCFP000 0.567559
y y CC 0.999962
empresas empresa NCFP000 1
tipificadas tipificar VMP00PF 1
como como CS 0.999289
empresas empresa NCFP000 1
que que PR0CN000 0.562517
prestan prestar VMIP3P0 1
servicios servicio NCMP000 1
de de SPS00 0.999984
transporte transporte NCMS000 0.918697
y y CC 0.999962
conexos conexo AQ0MP0 1
, , Fc 1
inscritas inscribir VMP00PF 1
o o CC 0.999769
en en SPS00 1
proceso proceso NCMS000 0.994505
de de SPS00 0.999984
inscripción inscripción NCFS000 1
, , Fc 1
con con SPS00 1
un uno DI0MS0 0.987295
valor valor NCMS000 1
bruto bruto AQ0MS0 0.432251
de de SPS00 0.999984
la el DA0FS0 0.972269
producción producción NCFS000 1
de de SPS00 0.999984
387.121.478 387121478 Z 1
bolívares bolívar NCMP000 1
fuertes fuerte AQ0CP0 0.980769
, , Fc 1
si si CS 0.99954
se se P00CN000 0.465639
toma tomar VMIP3S0 0.548387
en en SPS00 1
cuenta cuenta NCFS000 0.774691
que que PR0CN000 0.562517
el el DA0MS0 1
35_% 35/100 Zp 1
es ser VSIP3S0 1
la el DA0FS0 0.972269
participación participación NCFS000 1
de de SPS00 0.999984
los el DA0MP0 0.976481
servicios servicio NCMP000 1
de de SPS00 0.999984
carga carga NCFS000 0.952569
de de SPS00 0.999984
productos producto NCMP000 0.64273
terminados terminar VMP00PM 1
, , Fc 1
tenemos tener VMIP1P0 1
que que CS 0.437483
la el DA0FS0 0.972269
oferta oferta NCFS000 0.846947
esta este DD0FS0 0.986779
ubicada ubicar VMP00SF 1
en en SPS00 1
trescientas_treinta 330 Z 1
( ( Fpa 1
330 330 Z 1
) ) Fpt 1
industrias industria NCFP000 0.973497
con con SPS00 1
un uno DI0MS0 0.987295
vbp vbp NCMS000 1
de de SPS00 0.999984
bs bs NCMP000 0.325258
. . Fp 1
135.492.517 135492517 Z 1
bolívares bolívar NCMP000 1
fuertes fuerte AQ0CP0 0.980769
. . Fp 1

a_partir_de a_partir_de SPS00 1
la el DA0FS0 0.972269
información información NCFS000 1
histórica histórico AQ0FS0 1
manejada manejar VMP00SF 1
, , Fc 1
se se P00CN000 0.465639
puede poder VMIP3S0 0.999117
calcular calcular VMN0000 1
una uno DI0FS0 0.951575
tasa tasa NCFS000 0.765137
de de SPS00 0.999984
crecimiento crecimiento NCMS000 1
histórico histórico AQ0MS0 1
con con SPS00 1
la el DA0FS0 0.972269
cual cual PR0CS000 0.913223
hacer hacer VMN0000 1
las el DA0FP0 0.970954
pertinentes pertinente AQ0CP0 1
proyecciones proyección NCFP000 1
de de SPS00 1
el el DA0MS0 1
valor valor NCMS000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
producción producción NCFS000 1
bruta bruto AQ0FS0 0.357334
de de SPS00 0.999984
unidades unidad NCFP000 1
de de SPS00 0.999984
carga carga NCFS000 0.952569
para para SPS00 0.999103
el el DA0MS0 1
mercado mercado NCMS000 0.97619
nacional nacional AQ0CS0 1
, , Fc 1
asumiendo asumir VMG0000 1
un uno DI0MS0 0.987295
escenario escenario NCMS000 1
estable estable AQ0CS0 1
en en SPS00 1
la el DA0FS0 0.972269
economía economía NCFS000 1
de de SPS00 1
el el DA0MS0 1
país país NCMS000 1
, , Fc 1
sin sin SPS00 1
cierres cierre NCMP000 0.994903
de de SPS00 0.999984
empresas empresa NCFP000 1
y y CC 0.999962
cooperativas cooperativa NCFP000 0.567559
dedicadas dedicar VMP00PF 1
a a SPS00 0.996023
este este DD0MS0 0.960092
servicio servicio NCMS000 1
, , Fc 1
y y CC 0.999962
manteniendo mantener VMG0000 1
la el DA0FS0 0.972269
tasa tasa NCFS000 0.765137
de de SPS00 0.999984
crecimiento crecimiento NCMS000 1
presentada presentar VMP00SF 1
por por SPS00 1
la el DA0FS0 0.972269
industria industria NCFS000 0.939394
de de SPS00 0.999984
4,68_% 4.68/100 Zp 1
. . Fp 1
se se P00CN000 0.465639
presentan presentar VMIP3P0 1
en en SPS00 1
el el DA0MS0 1
siguiente siguiente AQ0CS0 1
cuadro cuadro NCMS000 0.953488
: : Fd 1
cuadro cuadro NCMS000 0.953488
v v NCFS000 1
oferta oferta NCFS000 0.846947
nacional nacional AQ0CS0 1
de de SPS00 0.999984
unidades unidad NCFP000 1
de de SPS00 0.999984
carga carga NCFS000 0.952569
proyectada proyectar VMP00SF 1
a a SPS00 1
el el DA0MS0 1
2015 2015 Z 1
( ( Fpa 1
miles mil NCMP000 1
de de SPS00 0.999984
bsf bsf NCMS000 1
. . Fp 1
a a SPS00 0.996023
precios precio NCMP000 1
corrientes corriente AQ0CP0 0.50727
) ) Fpt 1
años año NCMP000 1
v v NCFS000 1
. . Fp 1
p p NCFS000 0.5
. . Fp 1
b b NCFS000 1
. . Fp 1
nº número NCMS000 1
industrias industria NCFP000 0.973497
v v NCFS000 1
. . Fp 1
p p NCFS000 0.5
. . Fp 1
b b NCFS000 1
. . Fp 1
per-capita per-capita VMIP3S0 0.400167
2010 2010 Z 1
155.419 155419 Z 1
330 330 Z 1
471 471 Z 1
2011 2011 Z 1
162.692 162692 Z 1
330 330 Z 1
493 493 Z 1
2012 2012 Z 1
170.306 170306 Z 1
330 330 Z 1
516 516 Z 1
2013 2013 Z 1
178.276 178276 Z 1
330 330 Z 1
540 540 Z 1
2014 2014 Z 1
186.619 186619 Z 1
330 330 Z 1
566 566 Z 1
2015 2015 Z 1
195.353 195353 Z 1
330 330 Z 1
592 592 Z 1
fuente fuente NCFS000 1
: : Fd 1
estimaciones estimación NCFP000 1
y y CC 0.999962
proyecciones proyección NCFP000 1
propias propio AQ0FP0 1
. . Fp 1

  Fz 1
disponibilidad disponibilidad NCFS000 1
de de SPS00 0.999984
capital capital NCFS000 0.374233
financiero financiero AQ0MS0 0.65727
de de SPS00 0.999984
la el DA0FS0 0.972269
empresa empresa NCFS000 1
la el DA0FS0 0.972269
empresa empresa NCFS000 1
actualmente actualmente RG 1
cuenta contar VMIP3S0 0.219136
con con SPS00 1
activos activo NCMP000 0.41776
representados representar VMP00PM 1
por por SPS00 1
maquinarias maquinaria NCFP000 1
y y CC 0.999962
equipos equipo NCMP000 1
pero pero CC 0.999764
más más RG 1
que que CS 0.437483
todo todo PI0MS000 0.43165
orientados orientar VMP00PM 1
a a SPS00 0.996023
la el DA0FS0 0.972269
construcción construcción NCFS000 1
y y CC 0.999962
que que PR0CN000 0.562517
no no RN 0.998134
son ser VSIP3P0 0.988842
suficientes suficiente AQ0CP0 1
para para SPS00 0.999103
prestar prestar VMN0000 1
además_de además_de SPS00 1
el el DA0MS0 1
servicio servicio NCMS000 1
de de SPS00 0.999984
construcción construcción NCFS000 1
, , Fc 1
el el DA0MS0 1
servicio servicio NCMS000 1
de de SPS00 0.999984
transporte transporte NCMS000 0.918697
a a SPS00 0.996023
las el DA0FP0 0.970954
empresas empresa NCFP000 1
contratantes contratante AQ0CP0 0.609913
. . Fp 1
por por SPS00 1
tal tal DD0CS0 0.748227
motivo motivo NCMS000 0.962264
se se P00CN000 0.465639
presenta presentar VMIP3S0 0.990196
este este DD0MS0 0.960092
proyecto proyecto NCMS000 0.986111
, , Fc 1
el el DA0MS0 1
cual cual PR0CS000 0.913223
cumple cumplir VMIP3S0 0.987805
con con SPS00 1
los el DA0MP0 0.976481
requerimientos requerimiento NCMP000 1
básicos básico AQ0MP0 1
exigidos exigir VMP00PM 1
por por SPS00 1
los el DA0MP0 0.976481
organismos organismo NCMP000 1
oficiales oficial AQ0CP0 0.953488
de de SPS00 0.999984
financiamiento financiamiento NCMS000 1
para para SPS00 0.999103
las el DA0FP0 0.970954
empresas empresa NCFP000 1
, , Fc 1
y y CC 0.999962
la el DA0FS0 0.972269
pequeña pequeño AQ0FS0 0.991803
y y CC 0.999962
mediana mediano AQ0FS0 0.65721
industria industria NCFS000 0.939394
. . Fp 1
existe existir VMIP3S0 0.992958
un uno DI0MS0 0.987295
conjunto conjunto NCMS000 0.982301
de de SPS00 0.999984
políticas político AQ0FP0 0.972603
gubernamentales gubernamental AQ0CP0 1
de de SPS00 1
el el DA0MS0 1
estado estado NCMS000 0.665746
dirigidas dirigir VMP00PF 1
a_favor_de a_favor_de SPS00 1
el el DA0MS0 1
apoyo apoyo NCMS000 0.983871
a a SPS00 0.996023
las el DA0FP0 0.970954
empresas empresa NCFP000 1
, , Fc 1
expresadas expresar VMP00PF 1
en en SPS00 1
las el DA0FP0 0.970954
líneas línea NCFP000 0.97619
generales general AQ0CP0 0.581818
de de SPS00 1
el el DA0MS0 1
segundo 2 AO0MS0 0.755869
plan plan NCMS000 1
de de SPS00 0.999984
desarrollo desarrollo NCMS000 0.992424
socialistade socialistade VMIP3S0 0.666676
la el DA0FS0 0.972269
nacional nacional AQ0CS0 1
2013 2013 Z 1
- - Fg 1
2019 2019 Z 1
. . Fp 1
la el DA0FS0 0.972269
suscripción suscripción NCFS000 1
de de SPS00 1
el el DA0MS0 1
convenio convenio NCMS000 1
marco marco NCMS000 0.97619
para para SPS00 0.999103
la el DA0FS0 0.972269
reactivación reactivación NCFS000 1
de de SPS00 0.999984
los el DA0MP0 0.976481
servicios servicio NCMP000 1
, , Fc 1
preservación preservación NCFS000 1
y y CC 0.999962
fomento fomento NCMS000 0.966523
de de SPS00 1
el el DA0MS0 1
empleo empleo NCMS000 0.822581
, , Fc 1
sustentado sustentar VMP00SM 1
en en SPS00 1
las el DA0FP0 0.970954
áreas área NCFP000 1
cambiarias cambiario AQ0FP0 1
, , Fc 1
fiscal fiscal AQ0CS0 0.657263
financiera financiera NCFS000 0.23008
y y CC 0.999962
apoyo apoyo NCMS000 0.983871
a a SPS00 0.996023
los el DA0MP0 0.976481
servicios servicio NCMP000 1
, , Fc 1
es ser VSIP3S0 1
un uno DI0MS0 0.987295
mecanismo mecanismo NCMS000 1
de de SPS00 0.999984
apoyo apoyo NCMS000 0.983871
directo directo AQ0MS0 0.97619
a a SPS00 0.996023
la el DA0FS0 0.972269
pequeña pequeño AQ0FS0 0.991803
y y CC 0.999962
mediana mediano AQ0FS0 0.65721
industria industria NCFS000 0.939394
, , Fc 1
en en SPS00 1
donde donde PR000000 0.967437
actualmente actualmente RG 1
toda todo DI0FS0 0.982026
la el DA0FS0 0.972269
banca banca NCFS000 1
oficial oficial AQ0CS0 0.980769
, , Fc 1
coloca colocar VMIP3S0 0.994868
a a SPS00 0.996023
la el DA0FS0 0.972269
disposición disposición NCFS000 1
de de SPS00 1
el el DA0MS0 1
sector sector NCMS000 1
industrial industrial AQ0CS0 0.865854
manufacturero manufacturero AQ0MS0 1
y y CC 0.999962
prestadores prestador NCMP000 1
de de SPS00 0.999984
servicios servicio NCMP000 1
conexos conexo AQ0MP0 1
a a SPS00 1
el el DA0MS0 1
sector sector NCMS000 1
industrial industrial AQ0CS0 0.865854
, , Fc 1
programas programa NCMP000 0.97619
especiales especial AQ0CP0 1
de de SPS00 0.999984
financiamiento financiamiento NCMS000 1
. . Fp 1

