*** *** Fz 1
descripcion descripcion VMIS3P0 0.923476
centro centro NCMS000 0.992958
de de SPS00 0.999984
información información NCFS000 1
tendrá tener VMIF3S0 1
entre entre SPS00 0.998082
sus su DP3CP0 0.999692
directrices directriz NCFP000 0.64273
: : Fd 1
1 1 Z 1
. . Fp 1
planificación planificación NCFS000 1
estratégica estratégico AQ0FS0 1
y y CC 0.999962
elaboración elaboración NCFS000 1
de de SPS00 0.999984
escenarios escenario NCMP000 1
. . Fp 1

2 2 Z 1
. . Fp 1
seguimiento seguimiento NCMS000 1
a a SPS00 0.996023
la el DA0FS0 0.972269
gestión gestión NCFS000 1
de de SPS00 0.999984
gobierno gobierno NCMS000 0.97619
. . Fp 1

3 3 Z 1
. . Fp 1
análisis análisis NCMN000 1
político político AQ0MS0 0.822581
estructural estructural AQ0CS0 1
y y CC 0.999962
de de SPS00 0.999984
coyuntura coyuntura NCFS000 1
. . Fp 1

4 4 Z 1
. . Fp 1
seguimiento seguimiento NCMS000 1
y y CC 0.999962
evaluación evaluación NCFS000 1
de de SPS00 0.999984
proyectos proyecto NCMP000 1
sociales social AQ0CP0 0.986111
. . Fp 1

5 5 Z 1
. . Fp 1
orientación orientación NCFS000 1
y y CC 0.999962
gestión gestión NCFS000 1
de de SPS00 0.999984
negociaciones negociación NCFP000 1
. . Fp 1

6 6 Z 1
. . Fp 1
análisis análisis NCMN000 1
de de SPS00 0.999984
entorno entorno NCMS000 0.98913
, , Fc 1
privado privar VMP00SM 1
e y CC 0.980427
institucional institucional AQ0CS0 1
. . Fp 1

7 7 Z 1
. . Fp 1
análisis análisis NCMN000 1
( ( Fpa 1
inteligencia inteligencia NCFS000 1
) ) Fpt 1
económico económico AQ0MS0 1
, , Fc 1
empresarial empresarial AQ0CS0 1
y y CC 0.999962
financiero financiero AQ0MS0 0.65727
. . Fp 1

8 8 Z 1
. . Fp 1
análisis análisis NCMN000 1
de de SPS00 0.999984
prensa prensa NCFS000 0.975904
y y CC 0.999962
seguimiento seguimiento NCMS000 1
de de SPS00 0.999984
caos caos NCMN000 1
. . Fp 1

9 9 Z 1
. . Fp 1
diseño diseño NCMS000 0.97619
de de SPS00 0.999984
estrategias estrategia NCFP000 1
de de SPS00 0.999984
proyección proyección NCFS000 1
de de SPS00 0.999984
imagen imagen NCFS000 1
personal personal AQ0CS0 0.71978
e y CC 0.980427
institucional institucional AQ0CS0 1
. . Fp 1

10 10 Z 1
. . Fp 1
marketing marketing NCMS000 1
político político AQ0MS0 0.822581
: : Fd 1
diseño diseño NCMS000 0.97619
y y CC 0.999962
conducción conducción NCFS000 1
de de SPS00 0.999984
campañas campaña NCFP000 1
. . Fp 1

11 11 Z 1
. . Fp 1
gerencia gerencia NCFS000 1
de de SPS00 0.999984
crisis crisis NCFN000 1
y y CC 0.999962
evaluación evaluación NCFS000 1
de de SPS00 0.999984
riesgos riesgo NCMP000 1
políticos político AQ0MP0 0.234848
. . Fp 1

la el DA0FS0 0.972269
visión visión NCFS000 1
de de SPS00 0.999984
ésta este PD0FS000 1
unidad unidad NCFS000 1
es ser VSIP3S0 1
la el DA0FS0 0.972269
de de SPS00 0.999984
centralizar centralizar VMN0000 1
todas todo DI0FP0 0.950949
las el DA0FP0 0.970954
informaciones información NCFP000 1
adquiridas adquirir VMP00PF 1
a_través_de a_través_de SPS00 1
sus su DP3CP0 0.999692
redes red NCFP000 0.995706
, , Fc 1
analizar analizar VMN0000 1
las lo PP3FPA00 1
, , Fc 1
y y CC 0.999962
difundir difundir VMN0000 1
las lo PP3FPA00 1
; ; Fx 1
así_como así_como CC 1
servir servir VMN0000 1
de de SPS00 0.999984
centro centro NCMS000 0.992958
de de SPS00 0.999984
enlace enlace NCMS000 0.918697
entre entre SPS00 0.998082
el el DA0MS0 1
ejecutivo ejecutivo NCMS000 0.64273
nacional nacional AQ0CS0 1
y y CC 0.999962
las el DA0FP0 0.970954
organizaciones organización NCFP000 1
sociales social AQ0CP0 0.986111
que que PR0CN000 0.562517
demanden demandar VMSP3P0 0.885893
asistencia asistencia NCFS000 1
, , Fc 1
denuncias denuncia NCFP000 0.973497
, , Fc 1
apoyo apoyo NCMS000 0.983871
; ; Fx 1
así_como_también así_como_también RG 1
brindar brindar VMN0000 1
a a SPS00 1
el el DA0MS0 1
ejecutivo ejecutivo NCMS000 0.64273
nacional nacional AQ0CS0 1
de de SPS00 0.999984
respuestas respuesta NCFP000 1
inmediatas inmediato AQ0FP0 1
, , Fc 1
mediante mediante SPS00 0.987805
la el DA0FS0 0.972269
captura captura NCFS000 0.846947
y y CC 0.999962
el el DA0MS0 1
procesamiento procesamiento NCMS000 1
de de SPS00 0.999984
información información NCFS000 1
a_fin_de a_fin_de SPS00 1
producir producir VMN0000 1
reportes reporte NCMP000 0.995668
y y CC 0.999962
campañas campaña NCFP000 1
inteligentes inteligente AQ0CP0 0.557199
, , Fc 1
trabajando trabajar VMG0000 1
en en SPS00 1
condiciones condición NCFP000 0.991071
de de SPS00 0.999984
intensa intenso AQ0FS0 0.841237
presión presión NCFS000 1
y y CC 0.999962
elaborando elaborar VMG0000 1
reportes reporte NCMP000 0.995668
de de SPS00 0.999984
inteligencia inteligencia NCFS000 1
bajo bajo SPS00 0.879562
escenarios escenario NCMP000 1
de de SPS00 0.999984
un uno DI0MS0 0.987295
alto alto AQ0MS0 0.994505
grado grado NCMS000 0.992424
de de SPS00 0.999984
incertidumbre incertidumbre NCFS000 1
, , Fc 1
con con SPS00 1
la el DA0FS0 0.972269
finalidad finalidad NCFS000 1
de de SPS00 0.999984
lograr lograr VMN0000 1
el el DA0MS0 1
continuo continuo AQ0MS0 0.65727
fortalecimiento fortalecimiento NCMS000 1
de de SPS00 1
el el DA0MS0 1
estado estado NCMS000 0.665746
venezolano venezolano AQ0MS0 0.357352
. . Fp 1

el el DA0MS0 1
centro centro NCMS000 0.992958
nacional nacional AQ0CS0 1
de de SPS00 0.999984
informacion informacion NCMS000 0.0665581
( ( Fpa 1
cenain cenain NCMS000 1
) ) Fpt 1
puede poder VMIP3S0 0.999117
llegar llegar VMN0000 1
a a SPS00 0.996023
ser ser VSN0000 0.940705
considerado considerar VMP00SM 1
, , Fc 1
en en SPS00 1
efecto efecto NCMS000 1
, , Fc 1
el el DA0MS0 1
punto punto NCMS000 1
de de SPS00 0.999984
partida partida NCFS000 0.986111
de de SPS00 0.999984
una uno DI0FS0 0.951575
nueva nuevo AQ0FS0 0.995283
y y CC 0.999962
moderna moderno AQ0FS0 0.980769
estrategia estrategia NCFS000 1
de de SPS00 0.999984
combate combate NCMS000 0.845148
a a SPS00 1
el el DA0MS0 1
delito delito NCMS000 1
, , Fc 1
dado_que dado_que CS 1
su su DP3CS0 1
principal principal AQ0CS0 0.986111
objetivo objetivo NCMS000 0.809524
es ser VSIP3S0 1
la el DA0FS0 0.972269
provisión provisión NCFS000 1
on on VMIS3P0 0.923476
time timar VMSP3S0 0.468975
de de SPS00 0.999984
evaluación evaluación NCFS000 1
de de SPS00 0.999984
información información NCFS000 1
acerca_de acerca_de SPS00 1
múltiples múltiple AQ0CP0 1
y y CC 0.999962
amplios amplio AQ0MP0 1
factores factor NCMP000 1
criminales criminal AQ0CP0 0.581796
con con SPS00 1
el el DA0MS0 1
objeto objeto NCMS000 0.98913
de de SPS00 0.999984
prevenir prevenir VMN0000 1
y y CC 0.999962
reprimir reprimir VMN0000 1
el el DA0MS0 1
delito delito NCMS000 1
. . Fp 1

más_allá_de más_allá_de SPS00 1
los el DA0MP0 0.976481
fines fin NCMP000 0.986111
generales general AQ0CP0 0.581818
que que PR0CN000 0.562517
persigue perseguir VMIP3S0 0.994868
esta este DD0FS0 0.986779
metodología metodología NCFS000 1
, , Fc 1
se se P00CN000 0.465639
podría poder VMIC3S0 0.65
definir definir VMN0000 1
correctamente correctamente RG 1
el el DA0MS0 1
cni cni RG 0.751648
como como CS 0.999289
la el DA0FS0 0.972269
combinación combinación NCFS000 1
de de SPS00 0.999984
técnicas técnica NCFP000 0.495146
tendientes tendientes AQ0CP0 0.333187
a a SPS00 1
el el DA0MS0 1
desarrollo desarrollo NCMS000 0.992424
de de SPS00 0.999984
hipótesis hipótesis NCFN000 1
, , Fc 1
reconstrucción reconstrucción NCFS000 1
de de SPS00 0.999984
perfiles perfil NCMP000 0.995706
y y CC 0.999962
paraderos paradero NCMP000 1
de de SPS00 0.999984
individuos individuo NCMP000 0.64273
y y CC 0.999962
/ / Fh 1
u o CC 0.987805
organizaciones organización NCFP000 1
delictivas delictivo AQ0FP0 1
, , Fc 1
incidentes incidente NCMP000 0.64273
criminales criminal AQ0CP0 0.581796
, , Fc 1
identificación identificación NCFS000 1
de de SPS00 0.999984
relaciones relación NCFP000 0.987805
entre entre SPS00 0.998082
diversos diverso AQ0MP0 1
hechos hecho NCMP000 0.40834
, , Fc 1
comprensión comprensión NCFS000 1
acerca_de acerca_de SPS00 1
las el DA0FP0 0.970954
prácticas práctica NCFP000 0.378049
de de SPS00 0.999984
redes red NCFP000 0.995706
criminales criminal AQ0CP0 0.581796
y y CC 0.999962
el el DA0MS0 1
análisis análisis NCMN000 1
de de SPS00 0.999984
los el DA0MP0 0.976481
patrones patrón NCMP000 1
de de SPS00 0.999984
comportamiento comportamiento NCMS000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
actividad actividad NCFS000 1
criminal criminal AQ0CS0 0.55727
. . Fp 1

el el DA0MS0 1
cenain cenain NCMS000 1
no no RN 0.998134
es ser VSIP3S0 1
una uno DI0FS0 0.951575
sala sala NCFS000 0.777718
situqacional situqacional AQ0CS0 1
, , Fc 1
no no RN 0.998134
es ser VSIP3S0 1
un uno DI0MS0 0.987295
centro centro NCMS000 0.992958
de de SPS00 0.999984
inteligencia inteligencia NCFS000 1
, , Fc 1
no no RN 0.998134
ejecuta ejecutar VMIP3S0 0.994868
operaciones operación NCFP000 1
... ... Fs 1
el el DA0MS0 1
cenain cenain NCMS000 1
solo solo AQ0MS0 0.948498
es ser VSIP3S0 1
el el DA0MS0 1
oído oído NCMS000 0.743902
de de SPS00 1
el el DA0MS0 1
presidente presidente NCMS000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
republica republicar VMIP3S0 0.994868
a_través_de a_través_de SPS00 1
5.000 5000 Z 1
informantes informante NCCP000 1
, , Fc 1
consitutídos consitutídos VMP00PM 0.33349
en en SPS00 1
redes red NCFP000 0.995706
de de SPS00 0.999984
información información NCFS000 1
codificadas codificar VMP00PF 1
, , Fc 1
las el DA0FP0 0.970954
cuales cual PR0CP000 1
se se P00CN000 0.465639
pueden poder VMIP3P0 1
activar activar VMN0000 1
cuando cuando CS 0.985595
el el DA0MS0 1
sr. sr. NCFS000 1
presidente presidente NCMS000 1
asi asi NCMS000 1
lo lo PP3CNA00 0.271177
requiera requerir VMSP3S0 0.618942
. . Fp 1
el el DA0MS0 1
cenain cenain NCMS000 1
es ser VSIP3S0 1
la el DA0FS0 0.972269
comunicación comunicación NCFS000 1
perse perse VMN0000 1
entre entre SPS00 0.998082
el el DA0MS0 1
usuario usuario NCMS000 0.642628
codificado codificar VMP00SM 1
y y CC 0.999962
el el DA0MS0 1
presidente presidente NCMS000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
república república NCFS000 1
. . Fp 1

